real	position	tone	is_heavy	pos	of	shape	shape2
0	7	u	1	2	3	3a1	r_u
0	8	u	0	3	3	3a1	rU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	u	0	1	1	1a0	_
0	6	r	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	r_u
0	8	u	0	3	3	3a1	rU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	r	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	R_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	u	0	1	1	1a0	_
0	6	f	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	f_u
0	8	u	0	3	3	3a1	fU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	u	0	1	1	1a0	_
0	6	r	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	r_u
0	8	u	0	3	3	3a1	rU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	r	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rU_u
0	10	u	0	4	4	4a1	rUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	r	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rU_u
0	10	u	0	4	4	4a1	rUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	f	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	f_Uu
0	9	u	1	3	4	4a1	fU_u
0	10	u	0	4	4	4a1	fUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	r	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rU_u
0	10	u	0	4	4	4a1	rUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	r	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rU_u
0	10	u	0	4	4	4a1	rUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	r	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rU_u
0	10	u	0	4	4	4a1	rUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	r	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rU_u
0	10	u	0	4	4	4a1	rUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	r	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rU_u
0	10	u	0	4	4	4a1	rUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	f	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	F_
0	7	r	0	1	4	4a1	_UUu
0	8	u	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rU_u
0	10	u	0	4	4	4a1	rUU_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	3	3a2	_ru
0	3	r	0	2	3	3a2	u_u
0	4	u	0	3	3	3a2	ur_
0	5	r	1	1	2	2a1	_u
0	6	u	0	2	2	2a1	R_
0	7	r	0	1	4	4a1	_FUu
0	8	f	1	2	4	4a1	r_Uu
0	9	u	1	3	4	4a1	rF_u
0	10	u	0	4	4	4a1	rFU_
0	1	f	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	f_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	r	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	f_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	f	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	r	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	r_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	f	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	f	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	r	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	r	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	r_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	f	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	r	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	r_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	f	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	f_
0	5	f	0	1	2	2a1	_r
0	6	r	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	f	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	f_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	f	0	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	2	2a1	_U
0	4	u	1	2	2	2a1	f_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_Ruu
0	8	r	1	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	uR_u
0	10	u	0	4	4	4a2	uRu_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	r	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	R_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	r	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	R_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	F_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	F_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	F_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	F_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	f	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	F_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	r	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	R_
0	5	r	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	r_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	r	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	R_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	f	1	1	1	1a1	_
0	2	u	0	1	1	1a0	_
0	3	r	1	1	2	2a1	_u
0	4	u	0	2	2	2a1	R_
0	5	f	0	1	2	2a1	_u
0	6	u	0	2	2	2a1	f_
0	7	u	0	1	4	4a2	_ruu
0	8	r	0	2	4	4a2	u_uu
0	9	u	0	3	4	4a2	ur_u
0	10	u	0	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	r	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	r_U
0	4	u	1	3	3	3a1	ru_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	r	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	r_U
0	4	u	1	3	3	3a1	ru_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	f_U
0	4	u	1	3	3	3a1	fu_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	f_U
0	4	u	1	3	3	3a1	fu_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	f_U
0	4	u	1	3	3	3a1	fu_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	r	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	r_U
0	4	u	1	3	3	3a1	ru_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	f_U
0	4	u	1	3	3	3a1	fu_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	r	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	r_U
0	4	u	1	3	3	3a1	ru_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	r	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	r_U
0	4	u	1	3	3	3a1	ru_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	f	0	1	3	3a1	_uU
0	3	u	0	2	3	3a1	f_U
0	4	u	1	3	3	3a1	fu_
0	5	u	0	1	1	1a0	_
0	6	u	0	1	1	1a0	_
0	7	u	0	1	4	4a2	_ruU
0	8	r	0	2	4	4a2	u_uU
0	9	u	0	3	4	4a2	ur_U
0	10	u	1	4	4	4a2	uru_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	r	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	r	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	r_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	r	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	r	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	r	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	u	0	1	1	1a0	_
0	2	u	0	1	1	1a0	_
0	3	f	0	1	1	1a1	_
0	4	u	1	1	1	1a0	_
0	5	r	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	r_
0	7	u	0	1	1	1a0	_
0	8	u	0	1	3	3a2	_ru
0	9	r	0	2	3	3a2	u_u
0	10	u	0	3	3	3a2	ur_
0	1	f	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	f_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	r	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	r_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	f	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	f_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	r	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	r_
0	9	f	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	F_
0	1	f	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	f_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	f	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	f_
0	9	f	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	F_
0	1	f	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	f_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	r	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	r_
0	7	r	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	r_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	r	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	r_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	r	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	r_
0	7	f	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	f_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	r	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	r_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	r	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	r_
0	9	f	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	F_
0	1	r	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	r_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	r	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	r_
0	7	r	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	r_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	f	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	f_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	r	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	r_
0	7	f	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	f_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	f	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	f_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	f	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	f_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	f	0	1	2	2a1	_U
0	2	u	1	2	2	2a1	f_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	f	0	1	2	2a1	_U
0	6	u	1	2	2	2a1	f_
0	7	r	0	1	2	2a1	_u
0	8	u	0	2	2	2a1	r_
0	9	r	1	1	2	2a1	_u
0	10	u	0	2	2	2a1	R_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	u	0	1	1	1a0	_
0	6	f	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	f_u
0	8	u	0	3	3	3a1	fU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	u	0	1	1	1a0	_
0	6	r	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	r_u
0	8	u	0	3	3	3a1	rU_
0	9	r	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	R_
0	1	r	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	R_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	u	0	1	1	1a0	_
0	6	f	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	f_u
0	8	u	0	3	3	3a1	fU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	r	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	R_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	u	0	1	1	1a0	_
0	6	f	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	f_u
0	8	u	0	3	3	3a1	fU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	u	0	1	1	1a0	_
0	6	f	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	f_u
0	8	u	0	3	3	3a1	fU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	r	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	r_
0	5	u	0	1	1	1a0	_
0	6	r	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	r_u
0	8	u	0	3	3	3a1	rU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	u	0	1	1	1a0	_
0	6	f	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	f_u
0	8	u	0	3	3	3a1	fU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	u	0	1	1	1a0	_
0	6	r	0	1	3	3a1	_Uu
0	7	u	1	2	3	3a1	r_u
0	8	u	0	3	3	3a1	rU_
0	9	f	1	1	2	2a1	_U
0	10	u	1	2	2	2a1	F_
0	1	f	1	1	2	2a1	_U
0	2	u	1	2	2	2a1	F_
0	3	f	0	1	2	2a1	_u
0	4	u	0	2	2	2a1	f_
0	5	u	0	1	1	1a0	_
