real	position	tone	is_heavy	pos	of	shape	shape2
1	4	u	0	2	2	2a1	f_
1	5	u	0	1	1	1a0	_
1	6	f	0	1	1	1a1	_
1	7	r	0	1	4	4a1	_uUu
1	8	u	0	2	4	4a1	r_Uu
1	9	u	1	3	4	4a1	ru_u
1	10	u	0	4	4	4a1	ruU_
1	1	r	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	r_
1	3	r	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	r_
1	5	f	0	1	3	3a1	_uU
1	6	u	0	2	3	3a1	f_U
1	7	u	1	3	3	3a1	fu_
1	8	u	0	1	3	3a2	_Ru
1	9	r	1	2	3	3a2	u_u
1	10	u	0	3	3	3a2	uR_
1	1	f	0	1	1	1a1	_
1	2	u	0	1	2	2a0	_u
1	3	u	0	2	2	2a0	u_
1	4	f	1	1	1	1a1	_
1	5	r	1	1	2	2a1	_u
1	6	u	0	2	2	2a1	R_
1	7	f	0	1	2	2a1	_u
1	8	u	0	2	2	2a1	f_
1	9	r	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	r_
1	1	f	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	f_
1	3	r	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	r_
1	5	r	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	r_
1	7	u	0	1	4	4a2	_Ruu
1	8	r	1	2	4	4a2	u_uu
1	9	u	0	3	4	4a2	uR_u
1	10	u	0	4	4	4a2	uRu_
1	1	u	0	1	2	2a0	_u
1	2	u	0	2	2	2a0	u_
1	3	f	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	f_
1	5	f	0	1	1	1a1	_
1	6	u	0	1	1	1a0	_
1	7	u	0	1	1	1a0	_
1	8	f	0	1	1	1a1	_
1	9	f	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	f_
1	1	r	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	R_
1	3	f	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	f_
1	5	f	0	1	2	2a1	_U
1	6	u	1	2	2	2a1	f_
1	7	f	0	1	2	2a1	_U
1	8	u	1	2	2	2a1	f_
1	9	f	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	f_
1	1	u	0	1	2	2a0	_u
1	2	u	0	2	2	2a0	u_
1	3	r	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	r_
1	5	r	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	r_
1	7	r	0	1	2	2a1	_u
1	8	u	0	2	2	2a1	r_
1	9	r	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	r_
1	1	r	0	1	3	3a1	_uu
1	2	u	0	2	3	3a1	r_u
1	3	u	0	3	3	3a1	ru_
1	4	u	0	1	1	1a0	_
1	5	u	0	1	1	1a0	_
1	6	r	0	1	3	3a1	_uU
1	7	u	0	2	3	3a1	r_U
1	8	u	1	3	3	3a1	ru_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	r	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	r_
1	3	r	1	1	2	2a1	_u
1	4	u	0	2	2	2a1	R_
1	5	u	0	1	1	1a0	_
1	6	f	1	1	2	2a1	_U
1	7	u	1	2	2	2a1	F_
1	8	f	0	1	1	1a1	_
1	9	r	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	r_
1	1	u	0	1	4	4a2	_ruU
1	2	r	0	2	4	4a2	u_uU
1	3	u	0	3	4	4a2	ur_U
1	4	u	1	4	4	4a2	uru_
1	5	f	1	1	1	1a1	_
1	6	u	0	1	2	2a0	_u
1	7	u	0	2	2	2a0	u_
1	8	f	1	1	1	1a1	_
1	9	f	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	f_
1	1	u	0	1	3	3a2	_ru
1	2	r	0	2	3	3a2	u_u
1	3	u	0	3	3	3a2	ur_
1	4	u	0	1	1	1a0	_
1	5	r	0	1	3	3a1	_uu
1	6	u	0	2	3	3a1	r_u
1	7	u	0	3	3	3a1	ru_
1	8	u	0	1	3	3a2	_Ru
1	9	r	1	2	3	3a2	u_u
1	10	u	0	3	3	3a2	uR_
1	1	r	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	R_
1	3	r	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	r_
1	5	r	1	1	2	2a1	_u
1	6	u	0	2	2	2a1	R_
1	7	f	0	1	1	1a1	_
1	8	r	0	1	3	3a1	_uU
1	9	u	0	2	3	3a1	r_U
1	10	u	1	3	3	3a1	ru_
1	1	r	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	r_
1	3	u	0	1	1	1a0	_
1	4	u	0	1	1	1a0	_
1	5	f	1	1	1	1a1	_
1	6	r	0	1	3	3a1	_uu
1	7	u	0	2	3	3a1	r_u
1	8	u	0	3	3	3a1	ru_
1	9	f	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	f_
1	1	f	0	1	1	1a1	_
1	2	u	0	1	1	1a0	_
1	3	r	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	r_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	u	0	1	4	4a2	_Ruu
1	8	r	1	2	4	4a2	u_uu
1	9	u	0	3	4	4a2	uR_u
1	10	u	0	4	4	4a2	uRu_
1	1	u	0	1	1	1a0	_
1	2	f	1	1	1	1a1	_
1	3	u	0	1	1	1a0	_
1	4	u	0	1	1	1a0	_
1	5	u	0	1	4	4a2	_ruu
1	6	r	0	2	4	4a2	u_uu
1	7	u	0	3	4	4a2	ur_u
1	8	u	0	4	4	4a2	uru_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	f	0	1	3	3a1	_Uu
1	2	u	1	2	3	3a1	f_u
1	3	u	0	3	3	3a1	fU_
1	4	u	0	1	1	1a0	_
1	5	u	0	1	1	1a0	_
1	6	r	0	1	2	2a1	_U
1	7	u	1	2	2	2a1	r_
1	8	u	0	1	1	1a0	_
1	9	f	1	1	2	2a1	_U
1	10	u	1	2	2	2a1	F_
1	1	f	0	1	2	2a1	_U
1	2	u	1	2	2	2a1	f_
1	3	f	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	f_
1	5	f	1	1	2	2a1	_u
1	6	u	0	2	2	2a1	F_
1	7	u	0	1	1	1a0	_
1	8	r	0	1	3	3a1	_uu
1	9	u	0	2	3	3a1	r_u
1	10	u	0	3	3	3a1	ru_
1	1	f	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	f_
1	3	r	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	r_
1	5	u	0	1	1	1a0	_
1	6	f	0	1	1	1a1	_
1	7	f	1	1	2	2a1	_U
1	8	u	1	2	2	2a1	F_
1	9	r	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	r_
1	1	u	0	1	1	1a0	_
1	2	r	0	1	2	2a1	_u
1	3	u	0	2	2	2a1	r_
1	4	u	0	1	1	1a0	_
1	5	f	1	1	1	1a1	_
1	6	f	0	1	4	4a1	_Uuu
1	7	u	1	2	4	4a1	f_uu
1	8	u	0	3	4	4a1	fU_u
1	9	u	0	4	4	4a1	fUu_
1	10	f	1	1	1	1a1	_
1	1	f	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	f_
1	3	r	1	1	2	2a1	_u
1	4	u	0	2	2	2a1	R_
1	5	f	1	1	2	2a1	_u
1	6	u	0	2	2	2a1	F_
1	7	u	0	1	4	4a2	_Ruu
1	8	r	1	2	4	4a2	u_uu
1	9	u	0	3	4	4a2	uR_u
1	10	u	0	4	4	4a2	uRu_
1	1	f	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	F_
1	3	u	0	1	1	1a0	_
1	4	u	0	1	1	1a0	_
1	5	u	0	1	2	2a0	_u
1	6	u	0	2	2	2a0	u_
1	7	f	1	1	1	1a1	_
1	8	r	0	1	3	3a1	_uu
1	9	u	0	2	3	3a1	r_u
1	10	u	0	3	3	3a1	ru_
1	1	r	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	R_
1	3	u	0	1	1	1a0	_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	2	2a1	_U
1	6	u	1	2	2	2a1	f_
1	7	u	0	1	1	1a0	_
1	8	r	0	1	3	3a1	_uu
1	9	u	0	2	3	3a1	r_u
1	10	u	0	3	3	3a1	ru_
1	1	u	0	1	3	3a2	_Ru
1	2	r	1	2	3	3a2	u_u
1	3	u	0	3	3	3a2	uR_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	4	4a1	_uuU
1	6	u	0	2	4	4a1	f_uU
1	7	u	0	3	4	4a1	fu_U
1	8	u	1	4	4	4a1	fuu_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	f	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	F_
1	3	u	0	1	1	1a0	_
1	4	f	1	1	1	1a1	_
1	5	f	0	1	3	3a1	_uu
1	6	u	0	2	3	3a1	f_u
1	7	u	0	3	3	3a1	fu_
1	8	u	0	1	1	1a0	_
1	9	f	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	f_
1	1	u	0	1	1	1a0	_
1	2	u	0	1	1	1a0	_
1	3	f	0	1	1	1a1	_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	u	0	1	1	1a0	_
1	8	f	1	1	2	2a1	_U
1	9	u	1	2	2	2a1	F_
1	10	f	1	1	1	1a1	_
1	1	r	0	1	3	3a1	_uu
1	2	u	0	2	3	3a1	r_u
1	3	u	0	3	3	3a1	ru_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	u	0	1	1	1a0	_
1	8	f	0	1	3	3a1	_uu
1	9	u	0	2	3	3a1	f_u
1	10	u	0	3	3	3a1	fu_
1	1	r	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	R_
1	3	f	1	1	1	1a1	_
1	4	f	1	1	1	1a1	_
1	5	u	0	1	4	4a2	_Ruu
1	6	r	1	2	4	4a2	u_uu
1	7	u	0	3	4	4a2	uR_u
1	8	u	0	4	4	4a2	uRu_
1	9	f	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	F_
1	1	f	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	F_
1	3	r	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	r_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	r	0	1	2	2a1	_u
1	8	u	0	2	2	2a1	r_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	r	0	1	2	2a1	_U
1	2	u	1	2	2	2a1	r_
1	3	u	0	1	1	1a0	_
1	4	f	1	1	1	1a1	_
1	5	r	1	1	2	2a1	_u
1	6	u	0	2	2	2a1	R_
1	7	u	0	1	4	4a2	_Ruu
1	8	r	1	2	4	4a2	u_uu
1	9	u	0	3	4	4a2	uR_u
1	10	u	0	4	4	4a2	uRu_
1	1	u	0	1	2	2a0	_u
1	2	u	0	2	2	2a0	u_
1	3	f	1	1	2	2a1	_u
1	4	u	0	2	2	2a1	F_
1	5	u	0	1	1	1a0	_
1	6	u	0	1	1	1a0	_
1	7	r	0	1	4	4a1	_uUu
1	8	u	0	2	4	4a1	r_Uu
1	9	u	1	3	4	4a1	ru_u
1	10	u	0	4	4	4a1	ruU_
1	1	r	0	1	3	3a1	_uU
1	2	u	0	2	3	3a1	r_U
1	3	u	1	3	3	3a1	ru_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	3	3a1	_Uu
1	6	u	1	2	3	3a1	f_u
1	7	u	0	3	3	3a1	fU_
1	8	f	0	1	2	2a1	_u
1	9	u	0	2	2	2a1	f_
1	10	u	0	1	1	1a0	_
1	1	f	1	1	1	1a1	_
1	2	f	0	1	3	3a1	_uU
1	3	u	0	2	3	3a1	f_U
1	4	u	1	3	3	3a1	fu_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	r	1	1	2	2a1	_u
1	8	u	0	2	2	2a1	R_
1	9	f	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	f_
1	1	f	1	1	3	3a1	_uu
1	2	u	0	2	3	3a1	F_u
1	3	u	0	3	3	3a1	Fu_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	3	3a1	_uU
1	6	u	0	2	3	3a1	f_U
1	7	u	1	3	3	3a1	fu_
1	8	u	0	1	3	3a2	_rU
1	9	r	0	2	3	3a2	u_U
1	10	u	1	3	3	3a2	ur_
1	1	f	1	1	1	1a1	_
1	2	u	0	1	1	1a0	_
1	3	f	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	f_
1	5	f	1	1	3	3a1	_uU
1	6	u	0	2	3	3a1	F_U
1	7	u	1	3	3	3a1	Fu_
1	8	f	0	1	3	3a1	_uU
1	9	u	0	2	3	3a1	f_U
1	10	u	1	3	3	3a1	fu_
1	1	u	0	1	1	1a0	_
1	2	f	0	1	1	1a1	_
1	3	r	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	r_
1	5	r	0	1	3	3a1	_UU
1	6	u	1	2	3	3a1	r_U
1	7	u	1	3	3	3a1	rU_
1	8	f	0	1	1	1a1	_
1	9	r	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	r_
1	1	r	0	1	3	3a1	_Uu
1	2	u	1	2	3	3a1	r_u
1	3	u	0	3	3	3a1	rU_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	3	3a1	_uu
1	6	u	0	2	3	3a1	f_u
1	7	u	0	3	3	3a1	fu_
1	8	u	0	1	1	1a0	_
1	9	f	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	f_
1	1	r	0	1	3	3a1	_uu
1	2	u	0	2	3	3a1	r_u
1	3	u	0	3	3	3a1	ru_
1	4	u	0	1	1	1a0	_
1	5	r	0	1	3	3a1	_uu
1	6	u	0	2	3	3a1	r_u
1	7	u	0	3	3	3a1	ru_
1	8	u	0	1	1	1a0	_
1	9	r	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	r_
1	1	u	0	1	1	1a0	_
1	2	f	1	1	2	2a1	_u
1	3	u	0	2	2	2a1	F_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	u	0	1	4	4a2	_ruU
1	8	r	0	2	4	4a2	u_uU
1	9	u	0	3	4	4a2	ur_U
1	10	u	1	4	4	4a2	uru_
1	1	f	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	f_
1	3	u	0	1	1	1a0	_
1	4	u	0	1	1	1a0	_
1	5	r	0	1	3	3a1	_uu
1	6	u	0	2	3	3a1	r_u
1	7	u	0	3	3	3a1	ru_
1	8	r	0	1	3	3a1	_uU
1	9	u	0	2	3	3a1	r_U
1	10	u	1	3	3	3a1	ru_
1	1	r	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	R_
1	3	f	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	f_
1	5	u	0	1	2	2a0	_u
1	6	u	0	2	2	2a0	u_
1	7	u	0	1	1	1a0	_
1	8	r	1	1	3	3a1	_uu
1	9	u	0	2	3	3a1	R_u
1	10	u	0	3	3	3a1	Ru_
1	1	f	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	f_
1	3	f	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	f_
1	5	r	0	1	3	3a1	_uu
1	6	u	0	2	3	3a1	r_u
1	7	u	0	3	3	3a1	ru_
1	8	f	0	1	1	1a1	_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	u	0	1	1	1a0	_
1	2	f	0	1	2	2a1	_u
1	3	u	0	2	2	2a1	f_
1	4	u	0	1	1	1a0	_
1	5	u	0	1	5	5a2	_ruuu
1	6	r	0	2	5	5a2	u_uuu
1	7	u	0	3	5	5a2	ur_uu
1	8	u	0	4	5	5a2	uru_u
1	9	u	0	5	5	5a2	uruu_
1	10	f	0	1	1	1a1	_
1	1	u	0	1	3	3a2	_ru
1	2	r	0	2	3	3a2	u_u
1	3	u	0	3	3	3a2	ur_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	u	0	1	1	1a0	_
1	8	r	0	1	3	3a1	_uu
1	9	u	0	2	3	3a1	r_u
1	10	u	0	3	3	3a1	ru_
1	1	f	0	1	2	2a1	_U
1	2	u	1	2	2	2a1	f_
1	3	f	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	f_
1	5	r	0	1	3	3a1	_uU
1	6	u	0	2	3	3a1	r_U
1	7	u	1	3	3	3a1	ru_
1	8	u	0	1	1	1a0	_
1	9	f	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	F_
1	1	f	1	1	1	1a1	_
1	2	u	0	1	1	1a0	_
1	3	f	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	f_
1	5	f	1	1	2	2a1	_u
1	6	u	0	2	2	2a1	F_
1	7	u	0	1	4	4a2	_ruu
1	8	r	0	2	4	4a2	u_uu
1	9	u	0	3	4	4a2	ur_u
1	10	u	0	4	4	4a2	uru_
1	1	f	0	1	3	3a1	_uu
1	2	u	0	2	3	3a1	f_u
1	3	u	0	3	3	3a1	fu_
1	4	u	0	1	1	1a0	_
1	5	r	0	1	4	4a1	_uuu
1	6	u	0	2	4	4a1	r_uu
1	7	u	0	3	4	4a1	ru_u
1	8	u	0	4	4	4a1	ruu_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	r	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	R_
1	3	u	0	1	1	1a0	_
1	4	u	0	1	1	1a0	_
1	5	r	1	1	2	2a1	_u
1	6	u	0	2	2	2a1	R_
1	7	f	0	1	2	2a1	_u
1	8	u	0	2	2	2a1	f_
1	9	f	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	f_
1	1	u	0	1	1	1a0	_
1	2	u	0	1	1	1a0	_
1	3	f	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	f_
1	5	u	0	1	1	1a0	_
1	6	r	0	1	3	3a1	_uU
1	7	u	0	2	3	3a1	r_U
1	8	u	1	3	3	3a1	ru_
1	9	f	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	F_
1	1	u	0	1	1	1a0	_
1	2	u	0	1	1	1a0	_
1	3	f	1	1	2	2a1	_U
1	4	u	1	2	2	2a1	F_
1	5	r	1	1	3	3a1	_uu
1	6	u	0	2	3	3a1	R_u
1	7	u	0	3	3	3a1	Ru_
1	8	f	1	1	3	3a1	_uU
1	9	u	0	2	3	3a1	F_U
1	10	u	1	3	3	3a1	Fu_
1	1	r	1	1	3	3a1	_uU
1	2	u	0	2	3	3a1	R_U
1	3	u	1	3	3	3a1	Ru_
1	4	u	0	1	1	1a0	_
1	5	r	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	r_
1	7	r	1	1	2	2a1	_u
1	8	u	0	2	2	2a1	R_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	f	0	1	3	3a1	_uU
1	2	u	0	2	3	3a1	f_U
1	3	u	1	3	3	3a1	fu_
1	4	f	1	1	1	1a1	_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	u	0	1	4	4a2	_ruu
1	8	r	0	2	4	4a2	u_uu
1	9	u	0	3	4	4a2	ur_u
1	10	u	0	4	4	4a2	uru_
1	1	u	0	1	2	2a0	_u
1	2	u	0	2	2	2a0	u_
1	3	f	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	f_
1	5	f	0	1	1	1a1	_
1	6	u	0	1	2	2a0	_U
1	7	u	1	2	2	2a0	u_
1	8	f	0	1	3	3a1	_uu
1	9	u	0	2	3	3a1	f_u
1	10	u	0	3	3	3a1	fu_
1	1	f	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	f_
1	3	f	1	1	2	2a1	_U
1	4	u	1	2	2	2a1	F_
1	5	u	0	1	1	1a0	_
1	6	f	0	1	2	2a1	_u
1	7	u	0	2	2	2a1	f_
1	8	u	0	1	1	1a0	_
1	9	f	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	f_
1	1	f	0	1	3	3a1	_UU
1	2	u	1	2	3	3a1	f_U
1	3	u	1	3	3	3a1	fU_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	3	3a1	_Uu
1	6	u	1	2	3	3a1	f_u
1	7	u	0	3	3	3a1	fU_
1	8	u	0	1	1	1a0	_
1	9	f	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	f_
1	1	r	1	1	2	2a1	_u
1	2	u	0	2	2	2a1	R_
1	3	u	0	1	1	1a0	_
1	4	f	0	1	1	1a1	_
1	5	u	0	1	1	1a0	_
1	6	r	0	1	2	2a1	_U
1	7	u	1	2	2	2a1	r_
1	8	r	0	1	3	3a1	_uu
1	9	u	0	2	3	3a1	r_u
1	10	u	0	3	3	3a1	ru_
1	1	f	1	1	1	1a1	_
1	2	u	0	1	1	1a0	_
1	3	f	1	1	2	2a1	_U
1	4	u	1	2	2	2a1	F_
1	5	r	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	r_
1	7	f	1	1	2	2a1	_U
1	8	u	1	2	2	2a1	F_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	f	0	1	3	3a1	_Uu
1	2	u	1	2	3	3a1	f_u
1	3	u	0	3	3	3a1	fU_
1	4	u	0	1	1	1a0	_
1	5	u	0	1	3	3a2	_ru
1	6	r	0	2	3	3a2	u_u
1	7	u	0	3	3	3a2	ur_
1	8	f	0	1	3	3a1	_UU
1	9	u	1	2	3	3a1	f_U
1	10	u	1	3	3	3a1	fU_
1	1	f	0	1	2	2a1	_U
1	2	u	1	2	2	2a1	f_
1	3	f	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	f_
1	5	u	0	1	1	1a0	_
1	6	f	0	1	2	2a1	_U
1	7	u	1	2	2	2a1	f_
1	8	f	0	1	3	3a1	_uu
1	9	u	0	2	3	3a1	f_u
1	10	u	0	3	3	3a1	fu_
1	1	f	1	1	1	1a1	_
1	2	u	0	1	1	1a0	_
1	3	r	1	1	2	2a1	_u
1	4	u	0	2	2	2a1	R_
1	5	f	1	1	1	1a1	_
1	6	u	0	1	1	1a0	_
1	7	r	1	1	2	2a1	_u
1	8	u	0	2	2	2a1	R_
1	9	f	1	1	1	1a1	_
1	10	u	0	1	1	1a0	_
1	1	r	0	1	3	3a1	_uu
1	2	u	0	2	3	3a1	r_u
1	3	u	0	3	3	3a1	ru_
1	4	f	1	1	1	1a1	_
1	5	r	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	r_
1	7	u	0	1	1	1a0	_
1	8	u	0	1	1	1a0	_
1	9	f	1	1	2	2a1	_U
1	10	u	1	2	2	2a1	F_
1	1	u	0	1	3	3a2	_ru
1	2	r	0	2	3	3a2	u_u
1	3	u	0	3	3	3a2	ur_
1	4	u	0	1	1	1a0	_
1	5	u	0	1	4	4a2	_ruu
1	6	r	0	2	4	4a2	u_uu
1	7	u	0	3	4	4a2	ur_u
1	8	u	0	4	4	4a2	uru_
1	9	f	0	1	2	2a1	_u
1	10	u	0	2	2	2a1	f_
1	1	u	0	1	1	1a0	_
1	2	f	0	1	2	2a1	_U
1	3	u	1	2	2	2a1	f_
1	4	f	1	1	1	1a1	_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	r	0	1	4	4a1	_uuu
1	8	u	0	2	4	4a1	r_uu
1	9	u	0	3	4	4a1	ru_u
1	10	u	0	4	4	4a1	ruu_
1	1	f	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	f_
1	3	f	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	f_
1	5	u	0	1	1	1a0	_
1	6	f	0	1	2	2a1	_u
1	7	u	0	2	2	2a1	f_
1	8	r	0	1	3	3a1	_uU
1	9	u	0	2	3	3a1	r_U
1	10	u	1	3	3	3a1	ru_
1	1	r	0	1	2	2a1	_u
1	2	u	0	2	2	2a1	r_
1	3	u	0	1	1	1a0	_
1	4	u	0	1	1	1a0	_
1	5	f	0	1	3	3a1	_uu
1	6	u	0	2	3	3a1	f_u
1	7	u	0	3	3	3a1	fu_
1	8	u	0	1	1	1a0	_
1	9	r	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	R_
1	1	r	0	1	3	3a1	_uu
1	2	u	0	2	3	3a1	r_u
1	3	u	0	3	3	3a1	ru_
1	4	u	0	1	1	1a0	_
1	5	r	1	1	3	3a1	_uu
1	6	u	0	2	3	3a1	R_u
1	7	u	0	3	3	3a1	Ru_
1	8	u	0	1	1	1a0	_
1	9	f	1	1	2	2a1	_u
1	10	u	0	2	2	2a1	F_
1	1	u	0	1	1	1a0	_
1	2	r	0	1	3	3a1	_uu
1	3	u	0	2	3	3a1	r_u
1	4	u	0	3	3	3a1	ru_
1	5	r	0	1	3	3a1	_uU
1	6	u	0	2	3	3a1	r_U
1	7	u	1	3	3	3a1	ru_
1	8	r	0	1	3	3a1	_uU
1	9	u	0	2	3	3a1	r_U
1	10	u	1	3	3	3a1	ru_
1	1	u	0	1	2	2a0	_u
1	2	u	0	2	2	2a0	u_
1	3	f	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	f_
1	5	r	1	1	2	2a1	_U
1	6	u	1	2	2	2a1	R_
1	7	u	0	1	1	1a0	_
1	8	f	1	1	3	3a1	_uu
1	9	u	0	2	3	3a1	F_u
1	10	u	0	3	3	3a1	Fu_
1	1	u	0	1	2	2a0	_u
1	2	u	0	2	2	2a0	u_
1	3	r	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	r_
1	5	u	0	1	1	1a0	_
1	6	r	0	1	2	2a1	_u
1	7	u	0	2	2	2a1	r_
1	8	f	0	1	1	1a1	_
1	9	f	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	f_
1	1	u	0	1	1	1a0	_
1	2	u	0	1	1	1a0	_
1	3	f	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	f_
1	5	f	1	1	2	2a1	_U
1	6	u	1	2	2	2a1	F_
1	7	r	0	1	4	4a1	_uuu
1	8	u	0	2	4	4a1	r_uu
1	9	u	0	3	4	4a1	ru_u
1	10	u	0	4	4	4a1	ruu_
1	1	f	0	1	1	1a1	_
1	2	u	0	1	1	1a0	_
1	3	f	0	1	2	2a1	_u
1	4	u	0	2	2	2a1	f_
1	5	r	0	1	3	3a1	_UU
1	6	u	1	2	3	3a1	r_U
1	7	u	1	3	3	3a1	rU_
1	8	u	0	1	1	1a0	_
1	9	r	1	1	2	2a1	_U
1	10	u	1	2	2	2a1	R_
1	1	u	0	1	1	1a0	_
1	2	u	0	1	1	1a0	_
1	3	f	0	1	2	2a1	_U
1	4	u	1	2	2	2a1	f_
1	5	f	0	1	2	2a1	_u
1	6	u	0	2	2	2a1	f_
1	7	u	0	1	1	1a0	_
1	8	u	0	1	1	1a0	_
1	9	r	0	1	2	2a1	_U
1	10	u	1	2	2	2a1	r_
1	1	f	0	1	1	1a1	_
1	2	u	0	1	1	1a0	_
1	3	f	1	1	2	2a1	_U
1	4	u	1	2	2	2a1	F_
1	5	u	0	1	1	1a0	_
1	6	u	0	1	1	1a0	_
1	7	r	0	1	4	4a1	_uuu
1	8	u	0	2	4	4a1	r_uu
1	9	u	0	3	4	4a1	ru_u
1	10	u	0	4	4	4a1	ruu_
1	1	f	0	1	4	4a1	_uuu
1	2	u	0	2	4	4a1	f_uu
1	3	u	0	3	4	4a1	fu_u
1	4	u	0	4	4	4a1	fuu_
1	5	r	0	1	3	3a1	_uU
1	6	u	0	2	3	3a1	r_U
